"","Country","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"1","Austria","67","34","11","96","6","13","83","93","46","-","-","-"
"2","Belgium","113","45","18","3","684","277","91","76","92","886","-1 160","905"
"3","Cyprus","1","1","-","-","-","-","5","45","70","71","196","109"
"4","Denmark","26","76","31","39","240","94","113","169","38","240","37","509"
"5","Finland","13","4","7","2","7","11","88","185","56","- 52","58","48"
"6","France","1 901","1 769","820","478","1 261","153","1 118","2 167","1 895","3 029","4 383","2 760"
"7","Germany","551","538","339","705","958","627","1 339","839","2 365","498","1 434","1 171"
"8","Hungary","-","-","-","-","-","10","-","106","61","-","-","-"
"9","Ireland","9","53","2","- 7","125","37","59","- 121","- 254","-","-","-"
"10","Italy","258","471","- 24","418","278","40","- 214","203","- 903","186","517","944"
"11","Luxembourg","285","918","198","720","- 12","517","2 696","5 337","- 648","9 132","2 452","7 648"
"12","Netherlands","1 852","3 238","1 326","7 405","900","2 939","6 840","3 136","3 803","2 736","17 908","12 003"
"13","Portugal","1 484","830","177","570","- 277","76","284","- 564","379","- 3","339","732"
"14","Spain","2 741","510","- 174","878","- 188","547","1 732","2 594","3 016","313","9 779","2 073"
"15","Sweden","47","188","43","89","- 19","- 46","29","- 78","210","301","347","537"
"16","United Kingdom","353","463","232","23","26","249","816","582","990","1 334","3 315","2 176"
"17","Jersey","-","-","-","-","-","-","-","-","-","109","24","6"
"18","Norway","83","59","55","27","- 49","366","255","184","671","1 321","1 026","811"
"19","Switzerland","6","318","300","333","312","1 647","791","663","- 66","6 547","1 415","5 017"
"20","Mauritius","1","-","-","-","2","-","2","5","9","-","-","-"
"21","China","28","10","16","4","8","7","24","38","83","480","432","325"
"22","Hong Kong, China","33","12","11","15","9","101","12","23","34","810","2 186","155"
"23","Korea, Republic of","25","4","12","24","166","110","265","628","132","1 066","-1 084","1 047"
"24","Singapore","16","21","91","1","42","79","24","91","91","39","302","1 111"
"25","Argentina","10","84","67","78","104","122","31","- 91","- 6","-","-","-"
"26","Chile","62","45","67","23","103","27","690","- 8","971","1 428","1 721","2 180"
"27","Colombia","1","1","-","-","1","232","167","54","152","-","-","-"
"28","Peru","-","1","-","-","1","1","1","429","45","-","-","-"
"29","Uruguay","161","46","120","120","127","132","- 130","337","46","-","-","-"
"30","Costa Rica","-","-","-","- 7","1","212","-","- 26","- 1","-","-","-"
"31","Mexico","34","24","45","61","1 634","781","270","202","134","2 330","932","2 756"
"32","Panama","129","109","133","148","162","119","93","86","124","173","337","293"
"33","Bahamas","212","61","2","94","76","42","602","1 082","47","21","- 176","11"
"34","Barbados","-","-","-","-","-","-","-","- 304","-","-","-","-"
"35","British Virgin Islands","912","497","541","89","228","270","320","715","187","1 193","1 172","928"
"36","Cayman Islands","1 698","1 394","962","1 425","1 027","998","1 533","748","358","3 132","581","414"
"37","Netherlands Antilles","58","19","34","5","8","2","24","477","6","-","-","-"
"38","Turks and Caicos Islands","-","-","-","-","-","-","-","-","-","- 6","-","4"
