"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62"
"future_column","SE:T1. Total Population","Total Population","SE:T2. Population Density (per Sq. Mile)","Total Population","Population Density (Per Sq. Mile)","Area (Land)","SE:T57. Median Household Income (In 2016 Inflation Adjusted Dollars)","Median Household Income (In 2016 Inflation Adjusted Dollars)","SE:T61. Median Family Income (In 2016 Inflation Adjusted Dollars)","Median Family Income (In 2016 Inflation Adjusted Dollars)","SE:T157. Gini Index of Income Inequality","Gini Index","SE:T93. Housing Units","Housing Units","SE:T238. Total Population in Renter Occupied Housing Units by Units in Structure","Total Population in Renter Occupied Housing Units:","1, Detached or Attached","2 To 4","5 or More","Mobile Home","Boat, Rv, Van, Etc.","SE:T101. Median House Value for All Owner-Occupied Housing Units","Median Value","SE:T104. Median Gross Rent","Median Gross Rent","SE:T105. Median Gross Rent as a Percentage of Household Income in The Past 12 Months (Dollars)","Median Gross Rent as a Percentage of Household  Income in The Past 12 Months (Dollars)","SE:T112. Median Selected Monthly Owner Costs as a Percentage of Household Income in the Past 12 Months (Dollars) and Mortgage Status","Median Selected Monthly Owner Costs as a Percentage of Household Income:","Housing Units with a Mortgage","Housing Units Without a Mortgage","SE:T225. Monthly Housing Costs as a Percentage of Household Income in the Past 12 Months (Renter-Occupied Housing Units)","Renter-Occupied Housing Units:","Less Than $20,000:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$20,000 To $34,999:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$35,000 To $49,999:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$50,000 To $74,999:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$75,000 or More:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","Zero or Negative Income","No Cash Rent","SE:T147. Average Commute to Work (in Min)","Average Commute to Work (in Min)","SE:T142. Owner-Occupied Housing Units","Owner-Occupied Housing Units","Note:","For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'","© Social Explorer 2005-2018"
"Alameda city, California",NA,"77,409",NA,"77,409","7,295.30","10.61",NA,"$83,048",NA,"$104,145",NA,"0.46",NA,"32,349",NA,"38,235","11,489","9,532","17,204","10","0",NA,"$677,000",NA,"$1,478",NA,"27.90%",NA,"21.00%","23.60%","10.70%",NA,"16,333","2,421","42","183","2,196","1,683","38","94","1,551","1,687","62","369","1,256","3,248","293","1,515","1,440","6,428","3,717","2,124","587","285","581",NA,"32",NA,"14,345",NA,NA,NA
"X3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30.10%","24.90%","45.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.80%","0.30%","1.10%","13.50%","10.30%","0.20%","0.60%","9.50%","10.30%","0.40%","2.30%","7.70%","19.90%","1.80%","9.30%","8.80%","39.40%","22.80%","13.00%","3.60%","1.70%","3.60%",NA,NA,NA,NA,NA,NA,NA
"Albany city, California",NA,"19,420",NA,"19,420","10,859.90","1.79",NA,"$85,458",NA,"$97,055",NA,"0.46",NA,"7,825",NA,"9,814","2,886","1,598","5,312","18","0",NA,"$697,600",NA,"$1,653",NA,"36.00%",NA,"22.50%","24.70%","12.00%",NA,"3,961","544","0","25","519","489","0","0","489","681","0","16","665","623","28","232","363","1,452","778","494","180","56","116",NA,"32",NA,"3,434",NA,NA,NA
"X5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.40%","16.30%","54.10%","0.20%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.70%","0.00%","0.60%","13.10%","12.40%","0.00%","0.00%","12.40%","17.20%","0.00%","0.40%","16.80%","15.70%","0.70%","5.90%","9.20%","36.70%","19.60%","12.50%","4.50%","1.40%","2.90%",NA,NA,NA,NA,NA,NA,NA
"Alum Rock CDP, California",NA,"11,877",NA,"11,877","9,861.10","1.2",NA,"$72,079",NA,"$73,639",NA,"0.35",NA,"2,892",NA,"4,588","4,430","63","95","0","0",NA,"$463,000",NA,"$1,700",NA,"35.70%",NA,"25.70%","28.20%","12.50%",NA,"1,047","100","0","0","100","58","0","0","58","221","0","17","204","257","27","56","174","364","214","117","33","0","47",NA,"30",NA,"1,759",NA,NA,NA
"X7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96.60%","1.40%","2.10%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.60%","0.00%","0.00%","9.60%","5.50%","0.00%","0.00%","5.50%","21.10%","0.00%","1.60%","19.50%","24.60%","2.60%","5.40%","16.60%","34.80%","20.40%","11.20%","3.20%","0.00%","4.50%",NA,NA,NA,NA,NA,NA,NA
"American Canyon city, California",NA,"20,334",NA,"20,334","4,204.10","4.84",NA,"$83,673",NA,"$92,833",NA,"0.43",NA,"5,873",NA,"4,731","3,269","57","944","461","0",NA,"$374,200",NA,"$1,616",NA,"31.60%",NA,"22.30%","25.50%","10.10%",NA,"1,336","179","0","0","179","173","0","43","130","234","0","66","168","216","16","49","151","482","232","188","62","15","37",NA,"33",NA,"4,344",NA,NA,NA
"X9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69.10%","1.20%","20.00%","9.70%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.40%","0.00%","0.00%","13.40%","13.00%","0.00%","3.20%","9.70%","17.50%","0.00%","4.90%","12.60%","16.20%","1.20%","3.70%","11.30%","36.10%","17.40%","14.10%","4.60%","1.10%","2.80%",NA,NA,NA,NA,NA,NA,NA
"Amesti CDP, California",NA,"3,205",NA,"3,205","1,071.40","2.99",NA,"$54,485",NA,"$57,500",NA,"0.44",NA,"1,000",NA,"890","515","6","247","122","0",NA,"$366,500",NA,"$918",NA,"50.00%",NA,"27.20%","33.50%","10.00%",NA,"318","85","0","0","85","93","0","0","93","58","17","8","33","62","12","17","33","13","13","0","0","0","7",NA,"25",NA,"635",NA,NA,NA
"X11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57.90%","0.70%","27.80%","13.70%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26.70%","0.00%","0.00%","26.70%","29.30%","0.00%","0.00%","29.30%","18.20%","5.40%","2.50%","10.40%","19.50%","3.80%","5.40%","10.40%","4.10%","4.10%","0.00%","0.00%","0.00%","2.20%",NA,NA,NA,NA,NA,NA,NA
"Antioch city, California",NA,"108,675",NA,"108,675","3,833.50","28.35",NA,"$65,530",NA,"$72,019",NA,"0.42",NA,"36,142",NA,"44,568","31,333","4,403","8,484","299","49",NA,"$291,400",NA,"$1,439",NA,"36.10%",NA,"23.20%","26.50%","10.00%",NA,"13,332","2,833","9","262","2,562","2,617","142","69","2,406","1,595","59","306","1,230","2,512","240","977","1,295","3,312","1,459","1,547","306","154","309",NA,"45",NA,"20,644",NA,NA,NA
"X13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70.30%","9.90%","19.00%","0.70%","0.10%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.30%","0.10%","2.00%","19.20%","19.60%","1.10%","0.50%","18.10%","12.00%","0.40%","2.30%","9.20%","18.80%","1.80%","7.30%","9.70%","24.80%","10.90%","11.60%","2.30%","1.20%","2.30%",NA,NA,NA,NA,NA,NA,NA
"Aptos CDP, California",NA,"5,842",NA,"5,842","919.4","6.35",NA,"$81,435",NA,"$109,000",NA,"0.44",NA,"2,521",NA,"1,602","1,011","394","197","0","0",NA,"$665,800",NA,"$1,678",NA,"25.10%",NA,"22.90%","28.00%","13.60%",NA,"607","103","0","0","103","83","0","15","68","16","0","0","16","119","10","54","55","286","217","32","37","0","0",NA,"30",NA,"1,754",NA,NA,NA
"X15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63.10%","24.60%","12.30%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.00%","0.00%","0.00%","17.00%","13.70%","0.00%","2.50%","11.20%","2.60%","0.00%","0.00%","2.60%","19.60%","1.70%","8.90%","9.10%","47.10%","35.80%","5.30%","6.10%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA
"Aptos Hills-Larkin Valley CDP, California",NA,"2,288",NA,"2,288","247.5","9.24",NA,"$102,885",NA,"$108,106",NA,"0.41",NA,"949",NA,"447","447","0","0","0","0",NA,"$751,900",NA,"$1,847",NA,"27.80%",NA,"27.90%","37.00%","10.00%",NA,"157","18","0","0","18","0","0","0","0","0","0","0","0","98","0","66","32","41","0","20","21","0","0",NA,"28",NA,"663",NA,NA,NA
"X17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.00%","0.00%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.50%","0.00%","0.00%","11.50%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","62.40%","0.00%","42.00%","20.40%","26.10%","0.00%","12.70%","13.40%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA
"Ashland CDP, California",NA,"24,288",NA,"24,288","13,212.10","1.84",NA,"$47,437",NA,"$52,229",NA,"0.42",NA,"8,019",NA,"16,190","5,305","1,876","8,695","314","0",NA,"$335,000",NA,"$1,242",NA,"37.00%",NA,"23.90%","28.30%","10.70%",NA,"5,354","1,163","16","32","1,115","1,011","7","33","971","973","15","385","573","840","65","393","382","1,182","568","570","44","58","127",NA,"33",NA,"2,382",NA,NA,NA
"X19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32.80%","11.60%","53.70%","1.90%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.70%","0.30%","0.60%","20.80%","18.90%","0.10%","0.60%","18.10%","18.20%","0.30%","7.20%","10.70%","15.70%","1.20%","7.30%","7.10%","22.10%","10.60%","10.70%","0.80%","1.10%","2.40%",NA,NA,NA,NA,NA,NA,NA
"Atherton town, California",NA,"7,127",NA,"7,127","1,420.60","5.02",NA,"$250,001",NA,"$250,001",NA,"0.53",NA,"2,535",NA,"548","548","0","0","0","0",NA,"$2,000,001",NA,"$3,095",NA,"12.00%",NA,"17.00%","24.20%","10.00%",NA,"166","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","118","101","5","12","12","36",NA,"25",NA,"2,165",NA,NA,NA
"X21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.00%","0.00%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","71.10%","60.80%","3.00%","7.20%","7.20%","21.70%",NA,NA,NA,NA,NA,NA,NA
"Bay Point CDP, California",NA,"23,131",NA,"23,131","3,529.30","6.55",NA,"$47,336",NA,"$47,257",NA,"0.43",NA,"6,948",NA,"11,377","6,910","887","3,168","412","0",NA,"$193,000",NA,"$1,334",NA,"37.60%",NA,"22.30%","27.80%","12.60%",NA,"3,069","672","13","99","560","619","0","29","590","406","0","75","331","672","33","312","327","447","304","120","23","121","132",NA,"35",NA,"3,633",NA,NA,NA
"X23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60.70%","7.80%","27.90%","3.60%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.90%","0.40%","3.20%","18.30%","20.20%","0.00%","0.90%","19.20%","13.20%","0.00%","2.40%","10.80%","21.90%","1.10%","10.20%","10.70%","14.60%","9.90%","3.90%","0.80%","3.90%","4.30%",NA,NA,NA,NA,NA,NA,NA
"Bayview CDP (Contra Costa County), California",NA,"1,753",NA,"1,753","5,755.60","0.3",NA,"$79,338",NA,"$79,485",NA,"0.37",NA,"599",NA,"117","117","0","0","0","0",NA,"$295,500",NA,NA,NA,NA,NA,"20.10%","25.90%","10.00%",NA,"41","15","0","0","15","0","0","0","0","12","0","0","12","0","0","0","0","0","0","0","0","0","14",NA,"30",NA,"558",NA,NA,NA
"X25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.00%","0.00%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36.60%","0.00%","0.00%","36.60%","0.00%","0.00%","0.00%","0.00%","29.30%","0.00%","0.00%","29.30%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","34.20%",NA,NA,NA,NA,NA,NA,NA
